#   R      Vgas    Vdisk     Vbulge      SB_gas         SB_disk         SB_bul
# (kpc)  (km/s)   (km/s)     (km/s)  (solMass/pc^2)  (solMass/pc^2)  (solMass/pc^2)
# 
  0.1015  -0.7467   3.905  90.6980  0.000 500.00 32709.12
  0.2030  -1.4972   7.817 126.6796  0.000 500.00 14026.67
  0.3045  -2.2440  11.735 147.2292  0.000 500.00  7746.38
  0.4061  -3.0116  15.662 160.5323  0.000 500.00  4846.96
  0.5076  -3.7887  19.601 169.5785  0.000 500.00  3259.17
  0.6091  -4.5585  23.553 175.7746  0.000 500.00  2292.37
  0.7106  -5.3752  27.522 179.9065  0.000 500.00  1660.35
  0.8122  -6.2137  31.512 182.4589  0.000 500.00  1226.16
  0.9137  -7.0476  35.528 183.7656  0.000 500.00   917.15
  1.0152  -7.9539  39.569 184.0705  0.000 500.00   691.57
  1.1167  -8.8979  43.644 183.5620  0.000 500.00   523.89
  1.2183  -9.9021  47.756 182.3950  0.000 500.00   397.68
  1.3198 -11.0044  51.904 180.6973  0.000 500.00   301.89
  1.4213 -12.2424  56.101 178.5792  0.000 500.00   228.82
  1.5228 -13.7030  60.348 176.1360  0.000 500.00   172.95
  1.6244 -15.6095  64.654 173.4486  0.000 500.00   130.23
  1.7259 -19.2056  69.030 170.5877  0.000 500.00    97.60
  1.7705 -21.0861  70.971 169.2905  2.338 500.00    85.82
  2.2416  -7.8227  92.594 155.2589  3.612 500.00    20.51
  2.5096 -15.0494 106.194 147.7217  3.780 500.00     8.46
  2.7858 -18.4682 121.911 140.6478  4.158 500.00     3.19
  3.0538 -21.5920 140.350 134.5026  5.544 500.00     1.16
  3.3218 -22.5488 152.945 129.0247  7.840 350.26     0.40
  3.5736 -21.0255 151.931 124.4170  8.848 331.00     0.13
  3.7929 -20.5606 155.994 120.7731  9.254 345.61     0.05
  4.0528 -20.5901 165.824 116.8392 10.388 329.93     0.02
  4.3046 -17.9346 173.378 113.3711 11.662 274.00     0.00
  4.5401 -12.8751 174.940 110.3915 11.438 222.23     0.00
  4.7594 -11.1254 173.518 107.8184 11.144 199.90     0.00
  4.9706 -10.4588 172.653 105.5033 11.312 191.20     0.00
  5.2062  -6.3190 171.049 103.0891 11.676 164.45     0.00
  5.4254   8.5769 169.953 100.9842 11.620 191.90     0.00
  5.6204  12.4401 174.658  99.2176 11.158 197.95     0.00
  5.8234  13.0879 180.340  97.4725 10.598 187.25     0.00
  6.0265  11.6281 184.964  95.8164 10.416 171.20     0.00
  6.2052  10.7614 189.010  94.4267 10.584 165.85     0.00
  6.3838  12.0565 193.630  93.0958 10.878 145.15     0.00
  6.5463  14.7470 194.328  91.9336 10.948  95.51     0.00
  6.7250  17.4384 190.446  90.7040 10.738  86.37     0.00
  6.8874  19.2727 188.508  89.6280 10.276  82.23     0.00
  7.0255  19.8117 187.605  88.7429  9.604  80.09     0.00
  7.1636  17.9085 187.215  87.8835  8.708  74.53     0.00
  7.2854  11.5643 186.605  87.1456  8.204  65.06     0.00
  7.4153 -11.3288 185.463  86.3786  8.470  59.19     0.00
  7.5209 -17.4821 184.746  85.7701  9.310  56.31     0.00
  7.6184 -19.4972 183.758  85.2197 10.388  43.49     0.00
  8.1220   6.8038 171.560  82.5356 14.070  39.00     0.00
  8.5930  30.1545 168.239  80.2414 14.518  37.15     0.00
  8.8448  36.0633 166.932  79.0911 12.670  33.28     0.00
  9.6895  32.8919 161.932  75.5651  9.142  26.32     0.00
 10.8185  24.0797 156.185  71.5137 11.452  12.08     0.00
 11.8337  36.8650 147.246  68.3773 12.488   6.72     0.00
 12.8814  48.8248 139.524  65.5375 12.208   4.01     0.00
 13.9779  56.8813 132.622  62.9145  9.184   2.34     0.00
 15.0094  57.1388 126.868  60.7142  7.938   1.41     0.00
 16.2033  59.9248 120.997  58.4346  6.384   0.78     0.00
 17.0643  59.9402 117.226  56.9414  4.928   0.51     0.00
 17.6815  58.8632 114.734  55.9387  4.830   0.38     0.00
 18.3719  60.2457 112.127  54.8776  4.144   0.27     0.00
 19.1273  59.9921 109.470  53.7831  3.430   0.19     0.00
 19.8420  59.3930 107.135  52.8056  2.884   0.13     0.00
 20.5649  58.4597 104.930  51.8692  2.338   0.09     0.00
 21.3202  57.0573 102.770  50.9421  2.081   0.06     0.00
 22.3355  56.2284 100.088  49.7708  1.674   0.04     0.00
 24.3660  53.7207  95.333  47.6519  1.084   0.01     0.00
 26.3965  51.2584  91.241  45.7825  0.701   0.00     0.00
 28.4270  48.9138  87.664  44.1171  0.454   0.00     0.00
 30.4575  46.7484  84.500  42.6212  0.294   0.00     0.00
 35.5337  41.9888  77.927  39.4596  0.099   0.00     0.00
 40.6100  38.3426  72.719  36.9110  0.033   0.00     0.00
 50.7625  33.1393  64.863  33.0142  0.003   0.00     0.00
 60.9150  29.8204  59.126  30.1377  0.000   0.00     0.00
 71.0675  27.3924  54.693  27.9021  0.000   0.00     0.00
 81.2200  25.4991  51.133  26.1000  0.000   0.00     0.00
 91.3725  23.9633  48.190  24.6073  0.000   0.00     0.00
101.5250  22.6822  45.705  23.3446  0.000   0.00     0.00
121.8300  20.6464  41.708  21.3106  0.000   0.00     0.00
152.2875  18.4242  37.294  19.0608  0.000   0.00     0.00
