#   R       Vobs     err_Vobs
# (kpc)    (km/s)     (km/s)
# 
    9.50   221.75    3.17
   10.50   223.32    3.02
   11.50   220.72    3.47
   12.50   222.92    3.19
   13.50   224.16    3.48
   14.50   221.60    4.20
   15.50   218.79    4.75
   16.50   216.38    4.96
   17.50   213.48    6.13
   18.50   209.17    4.42
   19.50   206.25    4.63
   20.50   202.54    4.40
   21.50   197.56    4.62
   22.50   197.00    3.81
   23.50   191.62   12.95
   24.50   187.12    8.06
   25.50   181.44   19.58
   26.50   175.68   24.68
