# Disk parameters
# M_d/e10M_sun    4.9607
#    Disk M/L     1.0000
# Bulge included
# M_b/e10M_sun    1.3733
#   Bulge M/L     1.0000
# Gas included
# M_g/e10M_sun    1.6318
# Einasto halo parameters
#  M_*/e10M_sun   45.2147
#     r_s/1~kpc   19.3347
# concentration    5.2665
#   v_200/1km/s   71.2790
# M_200/e10Msun   11.4988
# alpha    2.7500
#+++++++++++++++
#   Rkpc      V_uh       V_b      V_ch     V_tot     r2rho       V_disk     V_gas   V_bulge
#
     0.050     0.341    31.264     0.943    31.278   0.491E-05     1.925    -0.425    31.202
     0.100     0.683    62.528     1.882    62.557   0.195E-04     3.851    -0.851    62.404
     0.150     1.024    93.792     2.816    93.835   0.435E-04     5.776    -1.276    93.606
     0.200     1.365   125.056     3.737   125.112   0.760E-04     7.701    -1.701   124.807
     0.250     1.707   137.668     4.642   137.746   0.116E-03     9.632    -2.123   137.315
     0.300     2.048   146.975     5.526   147.078   0.164E-03    11.561    -2.549   146.497
     0.350     2.389   154.501     6.404   154.634   0.220E-03    13.492    -2.982   153.882
     0.400     2.730   160.655     7.279   160.820   0.285E-03    15.426    -3.419   159.876
     0.450     3.072   165.813     8.154   166.014   0.359E-03    17.364    -3.862   164.856
     0.500     3.413   170.165     9.026   170.404   0.440E-03    19.306    -4.303   169.011
     0.550     3.754   173.831     9.898   174.113   0.532E-03    21.250    -4.738   172.462
     0.600     4.096   176.917    10.783   177.245   0.638E-03    23.198    -5.176   175.313
     0.650     4.437   179.516    11.671   179.895   0.748E-03    25.150    -5.630   177.656
     0.700     4.778   181.693    12.559   182.126   0.865E-03    27.107    -6.098   179.556
     0.750     5.119   183.500    13.445   183.992   0.990E-03    29.067    -6.575   181.064
     0.800     5.461   184.982    14.328   185.536   0.112E-02    31.031    -7.051   182.224
     0.850     5.802   186.179    15.209   186.800   0.127E-02    33.004    -7.520   183.076
     0.900     6.143   187.126    16.091   187.816   0.142E-02    34.984    -7.994   183.652
     0.950     6.484   187.849    16.974   188.614   0.158E-02    36.970    -8.492   183.979
     1.000     6.826   188.375    17.858   189.219   0.175E-02    38.962    -9.013   184.081
     1.250     8.532   188.782    22.264   190.090   0.270E-02    49.047   -11.804   181.916
     1.500    10.237   187.057    26.596   188.939   0.384E-02    59.390   -15.409   176.709
     1.750    11.943   185.257    30.875   187.812   0.513E-02    70.077   -23.390   169.889
     2.000    13.647   182.675    35.081   186.013   0.658E-02    81.198   -19.659   162.452
     2.250    15.351   180.998    39.215   185.197   0.816E-02    93.005    -8.993   155.014
     2.500    17.054   182.644    43.284   187.703   0.990E-02   105.692   -17.026   147.981
     2.750    18.755   186.508    47.300   192.412   0.118E-01   119.649   -20.991   141.522
     3.000    20.455   194.099    51.245   200.750   0.137E-01   136.673   -24.206   135.681
     3.250    22.154   201.303    55.119   208.712   0.157E-01   151.091   -26.114   130.431
     3.500    23.850   199.083    58.922   207.619   0.179E-01   152.367   -24.781   125.714
     3.750    25.545   198.101    62.661   207.775   0.201E-01   154.691   -23.707   121.461
     4.000    27.237   203.031    66.333   213.593   0.223E-01   163.770   -23.869   117.607
     4.250    28.926   207.714    69.936   219.172   0.246E-01   172.201   -21.768   114.097
     4.500    30.612   207.772    73.463   220.377   0.270E-01   175.010   -15.682   110.882
     4.750    32.295   204.799    76.921   218.768   0.293E-01   173.577   -12.873   107.925
     5.000    33.974   202.425    80.313   217.775   0.318E-01   172.528   -12.009   105.193
     5.250    35.649   199.126    83.638   215.978   0.342E-01   170.571    -4.221   102.658
     5.500    37.320   198.872    86.897   217.029   0.366E-01   171.245    12.883   100.297
     5.750    38.986   204.152    90.092   223.147   0.391E-01   178.407    15.049    98.093
     6.000    40.647   208.356    93.220   228.259   0.415E-01   184.401    13.679    96.028
     6.250    42.303   212.606    96.281   233.391   0.439E-01   190.242    12.529    94.087
     6.500    43.953   216.015    99.276   237.736   0.463E-01   194.659    16.076    92.260
     6.750    45.596   211.454   102.200   234.857   0.486E-01   189.991    20.479    90.536
     7.000    47.233   208.982   105.057   233.903   0.509E-01   187.730    22.956    88.904
     7.250    48.863   206.993   107.845   233.403   0.532E-01   186.844    17.443    87.358
     7.500    50.485   204.802   110.563   232.741   0.553E-01   184.891   -19.554    85.889
     7.750    52.100   200.905   113.212   230.608   0.574E-01   181.160   -20.127    84.493
     8.000    53.706   193.191   115.795   225.236   0.595E-01   174.357    -2.525    83.163
     8.250    55.303   189.287   118.307   223.218   0.614E-01   169.776    17.302    81.893
     8.500    56.891   189.391   120.747   224.608   0.632E-01   168.511    31.045    80.679
     8.750    58.470   189.592   123.116   226.059   0.650E-01   167.495    39.589    79.518
     9.000    60.038   188.631   125.414   226.518   0.666E-01   165.975    43.431    78.406
     9.250    61.595   186.809   127.638   226.250   0.681E-01   164.430    43.348    77.339
     9.500    63.142   184.491   129.787   225.570   0.694E-01   162.953    40.735    76.315
     9.750    64.677   182.121   131.859   224.844   0.706E-01   161.630    37.001    75.330
    10.000    66.200   179.977   133.854   224.296   0.716E-01   160.474    33.272    74.383
    10.250    67.710   178.043   135.770   223.903   0.724E-01   159.356    30.120    73.470
    10.500    69.207   176.242   137.605   223.599   0.731E-01   158.130    28.048    72.590
    10.750    70.691   174.489   139.360   223.311   0.736E-01   156.653    27.560    71.741
    11.000    72.161   172.737   141.033   222.999   0.740E-01   154.798    29.084    70.921
    11.250    73.617   171.047   142.624   222.708   0.741E-01   152.626    32.315    70.129
    11.500    75.058   169.521   144.132   222.512   0.741E-01   150.302    36.545    69.362
    11.750    76.483   168.213   145.558   222.447   0.739E-01   147.989    41.062    68.620
    12.000    77.893   167.103   146.902   222.494   0.736E-01   145.842    45.197    67.902
    12.250    79.286   166.135   148.163   222.605   0.731E-01   143.893    48.775    67.205
    12.500    80.663   165.271   149.341   222.749   0.724E-01   142.093    51.939    66.530
    12.750    82.023   164.490   150.439   222.911   0.716E-01   140.394    54.839    65.874
    13.000    83.365   163.787   151.456   223.081   0.706E-01   138.746    57.618    65.238
    13.250    84.689   163.131   152.395   223.240   0.695E-01   137.128    60.266    64.619
    13.500    85.994   162.451   153.252   223.330   0.683E-01   135.542    62.611    64.018
    13.750    87.281   161.664   154.033   223.297   0.669E-01   133.995    64.474    63.434
    14.000    88.548   160.682   154.737   223.075   0.654E-01   132.491    65.673    62.865
    14.250    89.795   159.457   155.367   222.633   0.638E-01   131.033    66.136    62.311
    14.500    91.023   158.077   155.922   222.037   0.621E-01   129.621    66.116    61.771
    14.750    92.230   156.670   156.405   221.378   0.603E-01   128.250    65.928    61.246
    15.000    93.416   155.364   156.820   220.750   0.584E-01   126.917    65.890    60.733
    15.250    94.580   154.264   157.163   220.222   0.565E-01   125.621    66.246    60.233
    15.500    95.724   153.341   157.442   219.776   0.545E-01   124.361    66.920    59.746
    15.750    96.845   152.528   157.657   219.364   0.525E-01   123.135    67.749    59.269
    16.000    97.944   151.754   157.808   218.935   0.504E-01   121.942    68.566    58.805
    16.250    99.020   150.940   157.899   218.438   0.483E-01   120.783    69.208    58.351
    16.500   100.074   150.027   157.934   217.833   0.462E-01   119.656    69.551    57.907
    16.750   101.104   148.997   157.913   217.110   0.440E-01   118.561    69.573    57.473
    17.000   102.111   147.841   157.836   216.261   0.419E-01   117.495    69.262    57.049
    17.250   103.094   146.566   157.709   215.299   0.398E-01   116.459    68.641    56.634
    17.500   104.054   145.325   157.536   214.329   0.377E-01   115.450    68.037    56.228
    17.750   104.989   144.341   157.315   213.500   0.356E-01   114.467    67.930    55.831
    18.000   105.900   143.689   157.050   212.864   0.336E-01   113.509    68.471    55.442
    18.250   106.787   143.158   156.745   212.281   0.316E-01   112.574    69.206    55.061
    18.500   107.648   142.506   156.402   211.588   0.296E-01   111.662    69.633    54.687
    18.750   108.486   141.658   156.023   210.737   0.277E-01   110.772    69.610    54.322
    19.000   109.298   140.711   155.607   209.793   0.259E-01   109.904    69.344    53.963
    19.250   110.085   139.770   155.161   208.831   0.241E-01   109.057    69.050    53.611
    19.500   110.847   138.877   154.687   207.882   0.224E-01   108.232    68.813    53.267
    19.750   111.584   138.007   154.188   206.930   0.207E-01   107.426    68.587    52.928
    20.000   112.295   137.135   153.661   205.956   0.192E-01   106.641    68.319    52.597
    20.250   112.982   136.244   153.112   204.953   0.177E-01   105.873    67.978    52.271
    20.500   113.643   135.323   152.544   203.916   0.162E-01   105.122    67.547    51.951
    20.750   114.279   134.367   151.958   202.844   0.149E-01   104.387    67.018    51.637
    21.000   114.890   133.405   151.356   201.756   0.136E-01   103.668    66.447    51.329
    21.250   115.475   132.483   150.739   200.683   0.124E-01   102.965    65.926    51.026
    21.500   116.036   131.641   150.109   199.655   0.113E-01   102.277    65.539    50.729
    21.750   116.571   130.877   149.468   198.670   0.103E-01   101.606    65.279    50.436
    22.000   117.082   130.162   148.818   197.710   0.927E-02   100.948    65.090    50.149
    22.250   117.568   129.466   148.161   196.757   0.837E-02   100.305    64.913    49.866
    22.500   118.030   128.762   147.498   195.794   0.753E-02    99.674    64.696    49.589
    22.750   118.467   128.040   146.831   194.817   0.675E-02    99.056    64.422    49.315
    23.000   118.879   127.306   146.160   193.828   0.604E-02    98.449    64.101    49.047
    23.250   119.268   126.563   145.486   192.833   0.539E-02    97.854    63.742    48.782
    23.500   119.633   125.818   144.812   191.835   0.479E-02    97.271    63.357    48.522
    23.750   119.975   125.074   144.138   190.838   0.425E-02    96.698    62.954    48.266
